league_code,league_ar,team_id,name_en,name_en_official,name_ar,short_name_ar,city,logo,logo_local,logo_note
IRQ,الدوري العراقي,11063,Al Hudod,Al-Hudood,نادي الحدود,الحدود,Baghdad,https://media.api-sports.io/football/teams/11063.png,,
IRQ,الدوري العراقي,11064,Al Kahrabaa,Al-Kahrabaa,نادي الكهرباء,الكهرباء,Baghdad,https://media.api-sports.io/football/teams/11064.png,,
IRQ,الدوري العراقي,11065,Al Minaa Basra,Al-Minaa,نادي الميناء,الميناء,Basra,https://media.api-sports.io/football/teams/11065.png,,
IRQ,الدوري العراقي,11066,Al Najaf,Al-Najaf,نادي النجف,النجف,Najaf,https://media.api-sports.io/football/teams/11066.png,logos/11066.png,
IRQ,الدوري العراقي,11067,Al Talaba,Al-Talaba,نادي الطلبة,الطلبة,Baghdad,https://media.api-sports.io/football/teams/11067.png,logos/11067.png,
IRQ,الدوري العراقي,11070,Erbil,Erbil,نادي أربيل,أربيل,Erbil,https://media.api-sports.io/football/teams/11070.png,logos/11070.png,
IRQ,الدوري العراقي,11071,Naft,Al-Naft,نادي النفط,النفط,Baghdad,https://media.api-sports.io/football/teams/11071.png,logos/11071.png,
IRQ,الدوري العراقي,11072,Naft Al-Janoob,Naft Al-Basra,نادي نفط البصرة,نفط البصرة,Basra,https://media.api-sports.io/football/teams/11072.png,logos/11072.png,
IRQ,الدوري العراقي,11074,Naft Maysan,Naft Maysan,نادي نفط ميسان,نفط ميسان,Al Amarah,https://media.api-sports.io/football/teams/11074.png,logos/11074.png,
IRQ,الدوري العراقي,15544,Al Karkh,Al-Karkh,نادي الكرخ,الكرخ,Baghdad,https://media.api-sports.io/football/teams/15544.png,logos/15544.png,
IRQ,الدوري العراقي,15546,Al-Qasim,Al-Qasim,نادي القاسم,القاسم,Babil,https://media.api-sports.io/football/teams/15546.png,,
IRQ,الدوري العراقي,15547,Zakho,Zakho,نادي زاخو,زاخو,Zakho,https://media.api-sports.io/football/teams/15547.png,,
IRQ,الدوري العراقي,20463,Duhok,Duhok,نادي دهوك,دهوك,Dohuk,https://media.api-sports.io/football/teams/20463.png,,
IRQ,الدوري العراقي,20464,Karbala,Karbala,نادي كربلاء,كربلاء,Karbala,https://media.api-sports.io/football/teams/20464.png,,
IRQ,الدوري العراقي,25061,Diyala,Diyala,نادي ديالى,ديالى,Baquba,https://media.api-sports.io/football/teams/25061.png,,
IRQ,الدوري العراقي,25062,Newroz,Newroz,نادي نوروز,نوروز,Duhok,https://media.api-sports.io/football/teams/25062.png,,
IRQ,الدوري العراقي,25063,Al-Karma,Al-Karma,نادي الكرمة,الكرمة,Ramadi,https://media.api-sports.io/football/teams/25063.png,,
SAU,الدوري السعودي,2928,Al Khaleej Saihat,Al-Khaleej,نادي الخليج,الخليج,Saihat,https://media.api-sports.io/football/teams/2928.png,,
SAU,الدوري السعودي,2929,Al-Ahli Jeddah,Al-Ahli,النادي الأهلي,الأهلي,Jeddah,https://media.api-sports.io/football/teams/2929.png,,
SAU,الدوري السعودي,2931,Al-Fateh,Al-Fateh,نادي الفتح,الفتح,Al-Hasa,https://media.api-sports.io/football/teams/2931.png,,
SAU,الدوري السعودي,2932,Al-Hilal Saudi FC,Al-Hilal,نادي الهلال السعودي,الهلال,Riyadh,https://media.api-sports.io/football/teams/2932.png,,
SAU,الدوري السعودي,2933,Al-Qadisiyah FC,Al-Qadsiah,نادي القادسية,القادسية,Khobar,https://media.api-sports.io/football/teams/2933.png,,
SAU,الدوري السعودي,2934,Al-Ettifaq,Al-Ettifaq,نادي الاتفاق,الاتفاق,Dammam,https://media.api-sports.io/football/teams/2934.png,,
SAU,الدوري السعودي,2935,Al-Raed,Al-Raed,نادي الرائد,الرائد,Buraidah,https://media.api-sports.io/football/teams/2935.png,,
SAU,الدوري السعودي,2936,Al Taawon,Al-Taawoun,نادي التعاون,التعاون,Buraidah,https://media.api-sports.io/football/teams/2936.png,,
SAU,الدوري السعودي,2937,Al Wehda Club,Al-Wehda,نادي الوحدة,الوحدة,Makkah,https://media.api-sports.io/football/teams/2937.png,,
SAU,الدوري السعودي,2938,Al-Ittihad FC,Al-Ittihad,نادي الاتحاد,الاتحاد,Jeddah,https://media.api-sports.io/football/teams/2938.png,,
SAU,الدوري السعودي,2939,Al-Nassr,Al-Nassr,نادي النصر,النصر,Riyadh,https://media.api-sports.io/football/teams/2939.png,,
SAU,الدوري السعودي,2940,Al Shabab,Al-Shabab,نادي الشباب,الشباب,Riyadh,https://media.api-sports.io/football/teams/2940.png,,
SAU,الدوري السعودي,2944,Al-Fayha,Al-Fayha,نادي الفيحاء,الفيحاء,Al Majmaah,https://media.api-sports.io/football/teams/2944.png,,
SAU,الدوري السعودي,2956,Damac,Damac,نادي ضمك,ضمك,Khamis Mushait,https://media.api-sports.io/football/teams/2956.png,,
SAU,الدوري السعودي,2961,Al Orubah,Al-Orobah,نادي العروبة,العروبة,Sakakah,https://media.api-sports.io/football/teams/2961.png,,
SAU,الدوري السعودي,2977,Al Okhdood,Al-Okhdood,نادي الأخدود,الأخدود,Najran,https://media.api-sports.io/football/teams/2977.png,,
SAU,الدوري السعودي,10509,Al Kholood,Al-Kholood,نادي الخلود,الخلود,Rass,https://media.api-sports.io/football/teams/10509.png,,
SAU,الدوري السعودي,10511,Al Riyadh,Al-Riyadh,نادي الرياض,الرياض,Riyadh,https://media.api-sports.io/football/teams/10511.png,,
JOR,الدوري الأردني,4530,Al Buqa'a,Al-Baqa'a,نادي البقعة,البقعة,Amman,https://media.api-sports.io/football/teams/4530.png,,
JOR,الدوري الأردني,17469,Sama Al Sarhan,Sama Al-Sarhan,نادي سما السرحان,سما السرحان,Al Mafraq,https://media.api-sports.io/football/teams/17469.png,,
IRQ,الدوري العراقي,11069,Baghdad,Amanat Baghdad,نادي بغداد,بغداد,Baghdad,https://media.api-sports.io/football/teams/11069.png,,
IRQ,الدوري العراقي,26598,Mosul,Mosul,نادي الموصل,الموصل,Mosul,https://media.api-sports.io/football/teams/26598.png,,
IRQ,الدوري العراقي,26600,Gharraf,Al-Gharraf,نادي الغراف,الغراف,Nasiriyah,https://media.api-sports.io/football/teams/26600.png,,
SAU,الدوري السعودي,2945,Al-Hazm,Al-Hazem,نادي الحزم,الحزم,Rass,https://media.api-sports.io/football/teams/2945.png,,
SAU,الدوري السعودي,2992,Al Najma,Al-Najma,نادي النجمة,النجمة,Unaizah,https://media.api-sports.io/football/teams/2992.png,,
SAU,الدوري السعودي,10513,NEOM,NEOM,نادي نيوم,نيوم,Tabouk,https://media.api-sports.io/football/teams/10513.png,,
SAU,الدوري السعودي,2930,Al-Faisaly FC,Al-Faisaly,نادي الفيصلي,الفيصلي,Al Majma'ah,https://media.api-sports.io/football/teams/2930.png,,
SAU,الدوري السعودي,2951,Abha,Abha,نادي أبها,أبها,Abha,https://media.api-sports.io/football/teams/2951.png,,
SAU,الدوري السعودي,26738,Al Diriyah,Al Diriyah,نادي الدرعية,الدرعية,Diriyah,https://media.api-sports.io/football/teams/26738.png,,
IRQ,الدوري العراقي,28222,Al-Jolan SC,Al-Jolan,نادي الجولان,الجولان,Anbar,https://media.api-sports.io/football/teams/28222.png,logos/28222.png,
IRQ,الدوري العراقي,28223,Ghaz Al Shamal,Ghaz Al-Shamal,نادي غاز الشمال,غاز الشمال,Kirkuk,https://media.api-sports.io/football/teams/28223.png,logos/28223.png,
JOR,الدوري الأردني,4543,Sahab,Sahab,نادي سحاب,سحاب,Amman,https://media.api-sports.io/football/teams/4543.png,,
JOR,الدوري الأردني,11474,Al Jalil,Al-Jalil,نادي الجليل,الجليل,Irbid,https://media.api-sports.io/football/teams/11474.png,,
SAU,الدوري السعودي,2942,Al Taee,Al-Taee,نادي الطائي,الطائي,Hail,https://media.api-sports.io/football/teams/2942.png,,
IRQ,الدوري العراقي,6689,Newroz,Newroz SC,نادي نوروز,نوروز,Duhok,https://media.api-sports.io/football/teams/25062.png,,معرّف قديم لنوروز — يُدمج نحو 25062
IRQ,الدوري العراقي,11073,Naft Al-Wasat,Naft Al-Wasat,نادي نفط الوسط,نفط الوسط,Najaf,https://media.api-sports.io/football/teams/11073.png,,
JOR,الدوري الأردني,17472,Al Arabi,Al-Arabi,نادي العربي,العربي,Irbid,https://media.api-sports.io/football/teams/17472.png,,
JOR,الدوري الأردني,22188,Doqarah,Doqarah,نادي دوقرة,دوقرة,,https://media.api-sports.io/football/teams/22188.png,,
IRQ,الدوري العراقي,15543,Al Diwaniya,Al-Diwaniya,نادي الديوانية,الديوانية,Afak,https://media.api-sports.io/football/teams/15543.png,,
IRQ,الدوري العراقي,17792,Al Sinaah,Al-Sinaah,نادي الصناعة,الصناعة,Baghdad,https://media.api-sports.io/football/teams/17792.png,,
SAU,الدوري السعودي,2926,Al Baten,Al-Batin,نادي الباطن,الباطن,Hafar Al-Batin,https://media.api-sports.io/football/teams/2926.png,,
SAU,الدوري السعودي,2950,Al-Adalah,Al-Adalah,نادي العدالة,العدالة,Al Ahsa,https://media.api-sports.io/football/teams/2950.png,,
